,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
'de novo' NAD biosynthetic process from aspartate,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,1.6529204029135842,0.16504315209945464,0.16504315209945464,1.6529204029135842,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,1.6529204029135842,1.6529204029135842,1.6529204029135842,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,0.16504315209945464,1.6529204029135842,1.6529204029135842,1.6529204029135842,1.6529204029135842,1.6529204029135842,0.16504315209945464,0.16504315209945464
2-iron2 sulfur cluster binding,0.006415342112157308,0.1094833922622423,0.006415342112157308,0.5906655633217988,0.5906655633217988,0.1094833922622423,0.5906655633217988,0.5906655633217988,0.5906655633217988,0.1094833922622423,0.1094833922622423,0.1094833922622423,0.5906655633217988,0.5906655633217988,1.716228551345777,0.1094833922622423,0.5906655633217988,0.1094833922622423,0.1094833922622423,0.5906655633217988,0.5906655633217988,0.5906655633217988,0.5906655633217988,0.5906655633217988,0.5906655633217988,0.1094833922622423
3'-tRNA processing endoribonuclease activity,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,6.325917988801632,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144
3-hydroxyacyl-CoA dehydratase activity,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,0.12880429546398012,1.1508079191734208,1.1508079191734208,1.1508079191734208,1.1508079191734208,1.1508079191734208,1.1508079191734208,1.1508079191734208,1.1508079191734208,0.12880429546398012
3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.7079757358317585,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.13371232381847803,0.7079757358317585,0.7079757358317585,0.34242189847566046,2.016718165422881,2.016718165422881,2.016718165422881,0.34242189847566046,0.34242189847566046,0.34242189847566046,0.13371232381847803
3-keto sterol reductase activity,0.14017642584493153,0.14017642584493153,1.274909072477854,0.14017642584493153,1.274909072477854,0.14017642584493153,1.274909072477854,0.14017642584493153,0.14017642584493153,0.14017642584493153,1.274909072477854,0.14017642584493153,1.274909072477854,1.274909072477854,1.274909072477854,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153
3-ketosteroid 9-alpha-monooxygenase activity,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.839332975843941,0.839332975843941,0.08723662885751708,0.839332975843941,0.839332975843941,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.839332975843941,0.839332975843941,0.839332975843941,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.839332975843941,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.839332975843941,0.839332975843941,0.839332975843941,0.839332975843941
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.08723662885751708,0.839332975843941,0.328043163736223,0.328043163736223,0.328043163736223,0.328043163736223,0.839332975843941,0.839332975843941,0.328043163736223,1.687317120073132,1.687317120073132,1.687317120073132,0.328043163736223,0.328043163736223,0.328043163736223,0.328043163736223
3-oxoacyl-[acyl-carrier-protein] synthase activity,0.09385340810417112,0.09385340810417112,0.09385340810417112,0.09385340810417112,0.09385340810417112,0.09385340810417112,0.09385340810417112,0.09385340810417112,0.4893582423224171,0.09385340810417112,0.09385340810417112,0.4893582423224171,0.23630137341894636,0.4893582423224171,0.8783818608534784,0.8783818608534784,0.8783818608534784,0.8783818608534784,0.23630137341894636,1.4204806894848243,1.4204806894848243,1.4204806894848243,0.09385340810417112,0.09385340810417112,0.09385340810417112,0.4893582423224171
4-iron4 sulfur cluster binding,0.09090759982702763,0.19630126135786494,0.09090759982702763,0.19630126135786494,0.19630126135786494,0.19630126135786494,0.19630126135786494,0.19630126135786494,1.4299604033847402,0.19630126135786494,0.19630126135786494,0.6263766205964656,0.19630126135786494,0.19630126135786494,0.19630126135786494,0.19630126135786494,0.19630126135786494,0.19630126135786494,0.09090759982702763,1.990383383532168,1.990383383532168,1.990383383532168,0.19630126135786494,0.19630126135786494,0.19630126135786494,0.09090759982702763
5S rRNA binding,0.10019639286284271,0.10019639286284271,0.10019639286284271,0.10019639286284271,0.10019639286284271,0.10019639286284271,0.10019639286284271,0.10019639286284271,1.3407535338714047,0.47879721427866473,0.10019639286284271,1.3407535338714047,0.10019639286284271,0.47879721427866473,0.47879721427866473,0.47879721427866473,0.47879721427866473,0.47879721427866473,0.47879721427866473,1.3407535338714047,1.3407535338714047,1.3407535338714047,0.10019639286284271,0.10019639286284271,0.10019639286284271,0.10019639286284271
ADP binding,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,0.2382672875857144,6.325917988801632,0.2382672875857144,0.2382672875857144
ATP binding,0.159708679466464,0.159708679466464,0.24428853108016016,0.159708679466464,0.159708679466464,0.159708679466464,0.159708679466464,0.159708679466464,0.24428853108016016,0.159708679466464,0.159708679466464,0.24428853108016016,0.159708679466464,0.159708679466464,0.24428853108016016,0.159708679466464,0.24428853108016016,0.35644642247909514,0.35644642247909514,2.5431042423367196,2.5431042423367196,2.1298580491098185,0.24428853108016016,0.24428853108016016,0.159708679466464,0.159708679466464
ATP synthesis coupled proton transport,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,1.9692550673835059,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284
ATP-dependent 3'-5' DNA-helicase activity,0.17909564722265284,0.17909564722265284,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,1.9692550673835059,0.17909564722265284,0.17909564722265284
ATP-dependent RNA helicase activity,0.05517023564158872,0.05517023564158872,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.05517023564158872,0.05517023564158872,0.3010299956639812,0.05517023564158872,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.05517023564158872,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,2.0356902601541336,2.0356902601541336,2.0356902601541336,0.3010299956639812
ATP-dependent peptidase activity,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,1.9692550673835059,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284
ATPase activity,0.11534495399426553,0.11534495399426553,0.11534495399426553,0.27570443137622064,0.27570443137622064,0.27570443137622064,0.27570443137622064,0.27570443137622064,0.11534495399426553,0.27570443137622064,0.27570443137622064,0.27570443137622064,0.11534495399426553,0.27570443137622064,0.5500744570097817,0.27570443137622064,0.27570443137622064,0.27570443137622064,0.11534495399426553,2.251469524235318,2.251469524235318,2.251469524235318,0.11534495399426553,0.11534495399426553,0.11534495399426553,0.11534495399426553
ATPase-coupled protein transmembrane transporter activity,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,2.4798128377361532,2.4798128377361532,2.4798128377361532,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641
Actinobacterium-type cell wall biogenesis,0.021685290301473124,0.05679337950100152,0.12635550499243112,0.12635550499243112,0.12635550499243112,0.12635550499243112,0.2455963251019345,0.12635550499243112,0.4282766995265244,0.12635550499243112,0.05679337950100152,0.4282766995265244,0.2455963251019345,0.4282766995265244,0.6854482877136833,0.4282766995265244,0.4282766995265244,0.6854482877136833,0.4282766995265244,1.4540503139395484,1.975725846494912,1.975725846494912,0.12635550499243112,0.12635550499243112,0.2455963251019345,0.2455963251019345
CTP binding,0.13880898380601836,0.13880898380601836,0.13880898380601836,0.13880898380601836,0.13880898380601836,0.13880898380601836,0.13880898380601836,0.13880898380601836,0.6864818617195506,0.13880898380601836,0.13880898380601836,0.6864818617195506,0.13880898380601836,0.13880898380601836,0.13880898380601836,0.13880898380601836,0.6864818617195506,0.13880898380601836,0.13880898380601836,1.9059637074204185,1.9059637074204185,1.9059637074204185,0.6864818617195506,0.6864818617195506,0.13880898380601836,0.13880898380601836
DIM/DIP cell wall layer assembly,0.07254949283313511,0.07254949283313511,0.11266121075069924,0.11266121075069924,0.11266121075069924,0.11266121075069924,0.11266121075069924,0.11266121075069924,0.167527504642358,0.11266121075069924,0.07254949283313511,0.7437540896751367,0.33149494780598393,0.4449721936376678,0.7437540896751367,0.9318011219651312,1.662585291360649,1.39043042952471,0.7437540896751367,1.1470732124691527,0.7437540896751367,0.9318011219651312,0.11266121075069924,0.11266121075069924,0.11266121075069924,0.11266121075069924
DNA N-glycosylase activity,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303,1.4352880513296669,1.4352880513296669,0.15218315077187303,0.15218315077187303,0.15218315077187303,1.4352880513296669,1.4352880513296669,1.4352880513296669,1.4352880513296669,0.15218315077187303,0.15218315077187303,0.15218315077187303,0.15218315077187303
DNA binding,0.047831426078617414,0.08597001009931503,0.22680012747986467,0.338877814093319,0.4840876606303048,0.22680012747986467,0.4840876606303048,0.22680012747986467,0.6656400066104113,0.14398990693112887,0.4840876606303048,0.6656400066104113,0.338877814093319,0.338877814093319,0.22680012747986467,0.08597001009931503,0.047831426078617414,0.047831426078617414,0.22680012747986467,1.8000182183720086,2.193211598579051,1.4518463188125557,0.08597001009931503,0.08597001009931503,0.338877814093319,0.14398990693112887
DNA dealkylation involved in DNA repair,0.08233497986587171,0.08233497986587171,0.08233497986587171,0.08233497986587171,0.08233497986587171,0.08233497986587171,0.08233497986587171,0.08233497986587171,0.410539815883635,0.410539815883635,0.410539815883635,1.1833633772287857,0.410539815883635,1.1833633772287857,0.410539815883635,0.410539815883635,1.1833633772287857,0.410539815883635,0.410539815883635,1.1833633772287857,1.1833633772287857,1.1833633772287857,0.08233497986587171,0.08233497986587171,0.08233497986587171,0.08233497986587171
DNA protection,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993,1.4668113966880036,4.458990882530029,1.4668113966880036,0.20075227498967993,0.20075227498967993,0.20075227498967993,0.20075227498967993
DNA recombination,0.08169927879101062,0.08169927879101062,1.5944064721825093,0.5117083496604606,0.5117083496604606,0.5117083496604606,0.5117083496604606,1.5944064721825093,0.08169927879101062,0.08169927879101062,0.5117083496604606,0.08169927879101062,0.5117083496604606,0.5117083496604606,0.5117083496604606,0.5117083496604606,0.08169927879101062,0.08169927879101062,0.5117083496604606,0.08169927879101062,0.08169927879101062,0.08169927879101062,1.5944064721825093,0.5117083496604606,0.08169927879101062,0.08169927879101062
DNA repair,0.052124405239922775,0.052124405239922775,0.18786666225192586,0.4843301530596479,0.9941871920250993,0.9941871920250993,0.4843301530596479,0.9941871920250993,0.052124405239922775,0.052124405239922775,0.4843301530596479,0.052124405239922775,0.052124405239922775,0.9941871920250993,0.9941871920250993,0.052124405239922775,0.052124405239922775,0.18786666225192586,0.9941871920250993,0.18786666225192586,0.18786666225192586,0.18786666225192586,0.4843301530596479,0.9941871920250993,0.4843301530596479,0.4843301530596479
DNA replication,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,2.4798128377361532,2.4798128377361532,2.4798128377361532,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641
DNA replication initiation,0.17909564722265284,0.17909564722265284,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,1.9692550673835059,0.17909564722265284,0.17909564722265284
DNA strand elongation involved in DNA replication,0.1179169509960668,0.1179169509960668,0.1179169509960668,1.0511921083100986,1.0511921083100986,1.0511921083100986,1.0511921083100986,1.0511921083100986,0.1179169509960668,0.1179169509960668,1.0511921083100986,0.1179169509960668,1.0511921083100986,1.0511921083100986,0.1179169509960668,0.1179169509960668,0.1179169509960668,0.1179169509960668,0.1179169509960668,0.1179169509960668,0.1179169509960668,0.1179169509960668,0.1179169509960668,1.0511921083100986,0.1179169509960668,0.1179169509960668
DNA supercoiling activity,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,2.4798128377361532,2.4798128377361532,2.4798128377361532,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641
DNA topoisomerase (ATP-hydrolyzing) inhibitor activity,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,1.274909072477854,0.14017642584493153,1.274909072477854,1.274909072477854,1.274909072477854,1.274909072477854,0.14017642584493153,1.274909072477854,1.274909072477854,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153
DNA topoisomerase type II (ATP-hydrolyzing) activity,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,2.4798128377361532,2.4798128377361532,2.4798128377361532,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641
DNA topological change,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641,2.4798128377361532,2.4798128377361532,2.4798128377361532,0.1949176241328641,0.1949176241328641,0.1949176241328641,0.1949176241328641
DNA unwinding involved in DNA replication,0.17909564722265284,0.17909564722265284,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,0.17909564722265284,1.9692550673835059,1.9692550673835059,0.17909564722265284,0.17909564722265284
DNA-(apurinic or apyrimidinic site) endonuclease activity,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,1.274909072477854,0.14017642584493153,0.14017642584493153,1.274909072477854,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153,1.274909072477854,1.274909072477854,1.274909072477854,1.274909072477854,1.274909072477854,0.14017642584493153,0.14017642584493153,0.14017642584493153,0.14017642584493153
DNA-3-methyladenine glycosylase activity,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.7086616546891058,0.7086616546891058,0.7086616546891058,2.2968241059243235,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768
DNA-7-methylguanine glycosylase activity,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.7086616546891058,0.7086616546891058,0.7086616546891058,2.2968241059243235,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.7086616546891058,0.09452052068964768,0.09452052068964768,0.09452052068964768,0.09452052068964768
DNA-binding transcription factor activity,0.0042459082731097575,0.0579027289749872,0.5761625969516146,0.7497353286882384,0.9534818846808494,0.3130413214996462,0.5761625969516146,0.43122057070103104,0.21939408471242242,0.033326927748846304,0.5761625969516146,0.21939408471242242,0.5761625969516146,0.3130413214996462,0.09491248019345004,0.1476704863289557,0.017993708419123174,0.033326927748846304,0.3130413214996462,1.1886674159384447,0.9534818846808494,0.9534818846808494,0.3130413214996462,0.3130413214996462,0.5761625969516146,0.43122057070103104
DNA-directed 5'-3' RNA polymerase activity,0.10131964247285803,0.10131964247285803,0.10131964247285803,0.10131964247285803,0.10131964247285803,0.10131964247285803,0.10131964247285803,0.10131964247285803,1.3728859386931562,0.3124468143792727,0.3124468143792727,1.3728859386931562,0.3124468143792727,0.3124468143792727,0.3124468143792727,0.3124468143792727,0.7213993206255012,0.7213993206255012,0.10131964247285803,1.3728859386931562,1.3728859386931562,1.3728859386931562,0.10131964247285803,0.10131964247285803,0.10131964247285803,0.10131964247285803
